NumV, NumE, vCount, eCount, pqCount, totalOperations
10, 20, 10, 20, 14, 44
10, 35, 10, 35, 24, 69
10, 50, 10, 50, 34, 94
10, 65, 10, 65, 18, 93
10, 80, 10, 80, 39, 129
20, 80, 20, 80, 74, 174
20, 140, 20, 140, 126, 286
20, 200, 20, 200, 124, 344
20, 260, 20, 260, 169, 449
20, 320, 20, 320, 181, 521
30, 180, 30, 180, 243, 453
30, 315, 30, 315, 295, 640
30, 450, 30, 450, 319, 799
30, 585, 30, 585, 335, 950
30, 720, 30, 720, 371, 1121
40, 320, 40, 320, 339, 699
40, 560, 40, 560, 437, 1037
40, 800, 40, 800, 505, 1345
40, 1080, 40, 1080, 515, 1635
40, 1280, 40, 1280, 517, 1837
50, 500, 50, 500, 649, 1199
50, 875, 50, 875, 649, 1574
50, 1250, 50, 1250, 765, 2065
50, 1625, 50, 1625, 735, 2410
50, 2000, 50, 2000, 703, 2753
